,cont_id,transaction_id,line_id,transaction_date,prod_price_net,prod_id,prod_family,cont_residency_zip,cont_residency_city,store_name
48,101501906,101502249,10002,2016-09-24,0.0,790206632,SOFAS,33137,Miami Beach,nan
49,100009695,100009881,10004,2014-11-29,298.0,100052169,DECO OBJETS DE DECORAT,nan,BUENOS AIRES,MADISON
50,100602587,100602391,10001,2017-11-18,10476.0,790249890,SOFAS,2492,NEEDHAM,nan
51,101701500,101702085,10001,2017-02-15,0.0,100054273,SERVICE NO MARGIN,10021,NEW YORK,nan
52,100603106,100603036,10002,2019-02-17,7132.0,790111602,CHAIRS,2493,Weston ,nan
53,101100423,101103047,10007,2019-09-24,13007.0,101502809,SOFAS,20816,Bethesda,nan
54,101700945,100014250,10002,2017-03-14,4872.0,790206634,SOFAS,10128,NEW YORK,MADISON
55,100003338,102500269,10001,2018-02-19,12189.0,100301636,ARMCHAIRS,10021,NEW YORK,UPPER WEST SIDE
56,100009673,100010942,10003,2015-06-26,6157.0,790109003,COCKTAIL TABLES,nan,nan,MADISON
58,100504618,100501693,10012,2014-10-19,42865.0,790152341,ACCESSORIES,48104,ANN ARBOR,nan
59,101105670,101100995,10007,2014-04-28,27611.0,790150207,BOOKCASES/CABINETS,20816,Bethesda,nan
60,100009727,100009911,10010,2014-12-07,40964.0,101101914,SERVICE NO MARGIN,6437,Guilford,nan
61,100101084,100101424,10002,2014-09-28,40965.0,790157097,SOFAS,11030,MANHASSET,nan
62,100013839,100015358,10017,2017-09-26,133694.0,790101995,MEUBLE MEUBLES DE COMPLE,90294,VENICE,nan
63,100009727,100009911,10007,2014-12-07,40964.0,790165499,SOFAS,6437,Guilford,nan
64,101105819,101101182,10009,2014-12-26,28749.0,790082663,SOFAS,22003,Annandale,nan
65,100101822,100102886,10012,2018-09-10,35823.0,790182154,COMPLEMENTARY PIECES,33432,BOCA RATON FL,MANHASSET
66,100202816,100203083,10002,2019-06-30,0.0,790274783,STORAGE UNITS,19317,CHADDS FORDS,nan
67,100505015,100502438,10003,2016-08-18,9667.0,100054273,SERVICE NO MARGIN,2110,BOSTON,BOSTON
68,100000871,100000905,10001,2007-07-14,8951.0,900012385,MEUBLE SALLE A MANGER,10023,NEW YORK,nan
69,101702083,101702753,10001,2018-01-25,21434.0,100054273,SERVICE NO MARGIN,10065,NEW YORK,nan
70,101200903,101200990,10002,2018-02-28,1214.0,790265715,ACCESSORIES,33140,MIAMI BEACH,nan
71,100003443,100009785,10001,2014-11-08,194.0,100056465,ACCESSORIES,33009,HALLENDALE,nan
72,100407251,100402928,10003,2018-01-04,9186.0,101101914,SERVICE NO MARGIN,60015,DEERFIELD,nan
73,100005385,100008651,10011,2014-04-03,34145.0,100056356,SOFAS,11050,SANDS POINT,nan
74,100013826,100015288,10004,2017-09-20,1546.0,100054273,SERVICE NO MARGIN,nan,nan,MADISON
75,100407288,100402911,10002,2017-12-18,3164.0,101101914,SERVICE NO MARGIN,62220,BELLEVILLE,CHICAGO
76,100003511,100010656,10005,2015-04-29,31525.0,790159631,SOFAS,10024,NEW YORK,nan
77,100600876,100601143,10007,2014-10-29,27106.0,790206450,SOFAS,2043,HINGHAM,nan
78,101500459,101500453,10002,2013-05-31,12875.0,790142613,SOFAS,33166,MIAMI,nan
79,101105025,101101913,10003,2017-05-06,8718.0,100053863,SALON SIEGES,22102,Mc Lean,nan
80,100006441,100007873,10001,2013-10-15,3369.0,790027677,SOFAS,6824,FAIRFEILD,nan
81,101504485,101503360,10001,2018-07-18,4774.0,790046953,CHAIRS,33139,MIAMI BEACH FLORIDA,CORAL GABLES
82,100100899,100101688,10003,2015-08-01,20970.0,790157883,TABLES,11576,ROSLYN,MANHASSET
83,100504558,100501961,10010,2015-06-25,36097.0,101101914,SERVICE NO MARGIN,1921,Boxford,nan
84,100200145,100200207,10017,2010-02-24,52229.0,100054082,DECO OBJETS DE DECORAT,19123,PHILADELPHIA,PHILADELPHIA
85,100600583,100600673,10001,2013-04-30,13373.0,790012830,SOFAS,1915,Beverly Farms,nan
86,100015030,100017011,10003,2018-06-01,3681.0,100054273,SERVICE NO MARGIN,11233,BROOKLYN,nan
87,100016744,100019938,10003,2019-07-26,53275.0,100060862,CHAIRS,10016,NEW YORK,nan
88,101600755,101601432,10003,2018-04-04,0.0,790138661,SOFAS,8053,NEW JERSEY,PALM BEACH
89,101502317,101502868,10003,2017-10-19,6447.0,790231217,ACCESSORIES,10128,NEW YORK,CORAL GABLES
90,102200484,102200807,10007,2018-01-27,26580.0,101700021,DECO DECO,7652,PARAMUS,nan
91,100601045,100601467,10001,2015-08-08,9828.0,790148904,SOFAS,1040,Holyoke,nan
92,100009104,100008884,10009,2014-05-18,35134.0,790159605,SOFAS,6902,STAMFORD,nan
93,100010683,100013393,10004,2016-10-12,13550.0,790233094,COMPLEMENTARY PIECES,10001,NEW YORK,nan
94,100013915,100015429,10001,2017-10-11,6393.0,790207604,BEDS,nan,nan,MADISON
95,100013023,100018946,10002,2019-02-27,0.0,101101914,SERVICE NO MARGIN,11743,HUNTINGTON,nan
96,101500751,101500831,10021,2014-01-31,78786.0,100054721,DECO TAPIS,33149,KEY BISCAYNE,nan
97,100600429,100600813,10007,2013-09-19,24789.0,790139848,COMPLEMENTARY PIECES,1451,HARVARD MA,NATICK
98,100004586,100005017,10009,2011-11-21,28402.0,790027677,SOFAS,11238,BROOKLYN,nan
99,100504335,100503936,10011,2019-10-11,67023.0,100500155,ACCESSORIES,nan,TAMUING   GUAM     96913,BOSTON
100,100504335,100502250,10005,2016-02-22,99858.0,790139838,COCKTAIL TABLES,nan,TAMUING   GUAM     96913,BOSTON
101,100504335,100008183,10005,2013-12-31,0.0,790151775,ARMCHAIRS,nan,nan,MADISON
